Date,number,day,visitors,vleague,visgame,home,hleague,homegame,visscore,homescore,lengthouts,nightday,latercomp,forfeit,protest,park,attendance,timemin,visline,homeline,visab,vish,visdoub,vistrip,vishr,visrbi,vissh,vissf,vishbp,visbb,visibb,visk,vissb,viscs,visgdb,visci,vislob,vispitchused,visier,vister,viswp,visbalks,visputout,visassist,viserror,vispb,visdp,vistp,homeab,homeh,homedoub,hometrip,homehr,homerbi,homesh,homesf,homehbp,homebb,homeibb,homek,homesb,homecs,homegdb,homeci,homelob,homepitchused,homeier,hometer,homewp,homebalks,homeputout,homeassist,homeerror,homepb,homedp,hometp
20030330,0,Sun,TEX,AL,1,ANA,AL,1,6,3,54,N,,,,ANA01,43525,174,100310100,101010000,39,12,2,0,3,6,0,0,0,4,0,3,0,0,1,0,10,4,3,3,0,1,27,13,0,0,2,0,32,8,1,0,0,3,1,0,1,2,0,4,1,0,2,0,6,4,6,6,0,0,27,11,2,0,1,0
20030331,0,Mon,BOS,AL,1,TBA,AL,1,4,6,53,N,,,,STP01,34391,155,300010000,105,36,8,3,0,0,3,0,0,1,2,0,6,0,0,0,0,8,4,5,5,0,0,26,10,1,0,1,0,33,7,1,0,2,5,0,0,2,2,0,7,1,0,1,0,5,2,1,1,0,0,27,12,2,0,0,0
20030331,0,Mon,NYA,AL,1,TOR,AL,1,8,4,54,N,,,,TOR02,50119,170,100205000,22,33,7,2,0,2,8,0,0,1,6,0,2,0,0,1,0,5,5,4,4,1,0,27,5,0,0,0,0,35,9,3,0,0,4,0,1,1,3,0,10,0,0,0,0,9,3,3,3,0,0,27,15,1,0,2,0
20030331,0,Mon,MIN,AL,1,DET,AL,1,3,1,54,D,,,,DET05,40427,130,20000010,100,31,8,1,0,2,3,1,0,0,0,0,4,0,0,2,0,2,3,1,1,0,0,27,9,1,0,0,0,30,4,0,0,0,1,0,0,0,1,0,4,0,1,0,0,3,3,3,3,0,0,27,17,0,0,3,0
20030331,0,Mon,CHA,AL,1,KCA,AL,1,0,3,51,D,,,,KAN06,40302,125,0,02000001x,29,3,1,0,0,0,0,0,0,2,0,8,0,0,1,0,4,2,3,3,1,0,24,10,1,1,0,0,29,7,4,0,0,2,0,1,0,4,0,2,1,0,0,0,7,3,0,0,0,0,27,12,0,0,1,0
20030331,0,Mon,CLE,AL,1,BAL,AL,1,5,6,77,D,,,,BAL12,46257,225,30010000010,1.00E+11,46,11,1,0,1,4,1,1,1,4,0,8,1,1,0,0,9,5,4,4,0,0,38,12,4,1,2,0,53,15,3,0,1,5,1,0,1,1,0,6,0,0,1,0,12,6,3,3,0,0,39,14,2,0,1,0
20030331,0,Mon,LAN,NL,1,ARI,NL,1,8,0,54,D,,,,PHO01,47356,171,100002203,0,36,13,5,0,1,8,1,1,1,5,2,8,2,2,1,0,9,1,0,0,0,0,27,10,0,0,0,0,29,4,1,0,0,0,0,0,0,1,0,7,0,1,0,0,3,5,6,6,0,0,27,12,1,0,1,0
20030331,0,Mon,PHI,NL,1,FLO,NL,1,8,5,54,D,,,,MIA01,37137,197,115100000,2120,39,10,1,0,0,5,0,0,0,8,0,9,0,0,1,0,12,4,4,4,1,0,27,10,2,0,0,0,33,7,0,1,1,4,1,0,0,2,0,4,3,0,0,0,4,7,2,2,1,0,27,10,3,1,1,0
20030331,0,Mon,PIT,NL,1,CIN,NL,1,10,1,54,D,,,,CIN09,42343,180,60010210,1000000,36,12,3,0,3,10,1,1,0,5,0,6,0,0,0,0,6,3,0,0,0,0,27,12,2,0,1,0,32,4,2,0,0,1,0,0,0,3,0,4,0,0,1,0,7,6,10,10,0,0,27,10,0,0,1,0
20030331,0,Mon,MON,NL,1,ATL,NL,1,10,2,54,N,,,,ATL02,40258,164,400000132,1010,39,14,4,1,1,9,1,1,0,5,2,7,0,0,0,0,9,4,2,2,1,0,27,9,0,0,2,0,34,11,0,1,0,2,0,1,0,3,0,2,0,0,2,0,9,4,9,9,0,0,27,11,3,0,1,0
